transformation,replica,state,frame,distance,angle1,angle2,torsion1,torsion2,torsion3,arc_length1,arc_length2,d0
CHEMBL1086409~CHEMBL1084431,replica-0,24,13,18.180462,48.37295,56.5177,-118.22131,60.94626,136.17567,15.349169,17.93357,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,14,18.200315,52.939064,59.97848,-118.696396,71.17838,131.56602,16.816381,19.05249,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,15,17.847027,55.978737,59.3921,-160.28737,53.30064,149.60974,17.43678,18.50001,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,16,18.104713,51.319954,62.887657,-127.50862,52.46557,121.16313,16.21643,19.871674,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,17,18.362099,57.34114,61.65416,-131.4972,57.588974,121.59525,18.376635,19.758867,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,18,18.006945,60.131348,62.326817,-127.41024,69.51038,124.33245,18.898108,19.5881,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,19,18.091871,53.71646,55.456333,-127.76688,42.90886,129.25192,16.961655,17.511042,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,20,18.404491,54.523483,64.1244,-131.13963,46.418144,149.05481,17.513977,20.597973,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,21,18.493444,47.581516,55.776814,-123.40293,59.771336,121.609535,15.357957,18.003166,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,22,18.512716,61.510498,59.0406,-120.48315,52.657345,137.70708,19.874525,19.07648,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,23,18.332422,44.795788,53.43197,-126.9877,61.694183,145.18102,14.33291,17.096153,18.2747745513916
CHEMBL1086409~CHEMBL1084431,replica-0,24,24,18.31671,44.600506,57.22558,-151.1351,53.19458,136.65878,14.258196,18.294268,18.2747745513916
CHEMBL1089393~CHEMBL1085895,replica-0,0,0,18.627075,65.41093,109.817726,-132.62262,107.85379,-28.03668,21.26534,35.70216,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,1,18.754713,70.30721,115.54645,-146.304,101.64329,-33.801052,23.013765,37.82199,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,2,18.35112,50.33797,105.55007,-138.27548,100.855835,-37.456593,16.12262,33.806362,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,3,18.377434,57.924934,112.78746,-140.00053,112.06344,-23.137915,18.579233,36.17621,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,4,18.507433,61.55826,115.96362,-125.05417,106.15189,-28.77795,19.884281,37.458065,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,5,18.831831,56.262356,109.43534,-138.01201,90.65229,-25.653952,18.492168,35.96893,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,6,18.667423,61.305443,109.32062,-111.703705,130.0384,-18.931383,19.973803,35.61753,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,7,18.451746,59.249043,116.8948,-124.35391,98.09888,-36.372337,19.080782,37.645233,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,8,18.617228,57.515854,106.970085,-112.527596,104.539185,-22.163702,18.688738,34.757996,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,9,18.55344,60.56303,108.20085,-134.51955,87.14253,-21.566555,19.611437,35.03745,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,10,18.512589,60.17723,111.84619,-131.84615,110.00743,-23.67177,19.443602,36.138134,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,11,18.537163,62.357933,109.324265,-127.70517,123.603584,-33.396324,20.174944,35.370174,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,12,18.503162,57.31066,112.256004,-131.68416,97.82101,-25.393862,18.507969,36.25208,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,13,18.65947,65.06078,109.45904,-142.49597,90.7768,-37.53348,21.188292,35.647434,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,14,18.431898,69.6497,111.17006,-114.831245,101.64821,-31.266584,22.406118,35.763107,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,15,18.137827,62.25199,108.89621,-132.2976,81.65293,-41.278748,19.706789,34.472706,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,16,18.317728,60.706326,107.277054,-122.18225,110.74042,-27.610626,19.408096,34.296974,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,17,18.315228,51.17317,114.89306,-127.19941,106.70674,-24.89885,16.358067,36.726833,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,18,18.549889,59.900608,112.6203,-116.15955,98.63816,-41.99873,19.393219,36.461567,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,19,17.994375,63.47576,112.008575,-125.9278,125.379814,-42.588062,19.935266,35.177536,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,20,18.55872,58.05517,114.80261,-132.84464,94.73152,-18.491138,18.804693,37.185802,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,21,18.580921,62.5962,111.145584,-135.25085,123.4778,-31.559036,20.299837,36.04432,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,22,18.44505,63.33558,110.287315,-141.11151,108.736885,-33.9914,20.389423,35.504448,18.49690318107605
CHEMBL1089393~CHEMBL1085895,replica-0,0,23,18.453203,67.88383,109.45924,-127.83403,100.89819,-44.572586,21.863287,35.253445,18.49690318107605
